Produto,Categoria do Produto,Preço,Frete,Data da Compra,Vendedor,Local da compra,Avaliação da compra,Tipo de pagamento,Quantidade de parcelas,lat,lon
2963,Smart TV,eletronicos,2083.91,111.4930427826,2022-10-10T00:00:00.000,Isabella Pereira,MG,5,cupom,1,-18.1,-44.38
2964,Assistente virtual,eletronicos,278.03,15.3353655986,2022-10-10T00:00:00.000,Felipe Santos,PI,3,cartao_credito,1,-6.6,-42.28
2965,Mesa de centro,moveis,203.16,11.7060739877,2022-10-10T00:00:00.000,Lucas Oliveira,PE,3,cartao_credito,1,-8.38,-37.86
2966,Carrinho controle remoto,brinquedos,92.55,5.211134981,2020-11-10T00:00:00.000,Lucas Oliveira,PA,4,boleto,1,-3.79,-52.48
2967,Guarda roupas,moveis,678.23,45.6946506446,2020-11-10T00:00:00.000,Pedro Gomes,SP,4,cartao_credito,5,-22.19,-48.79
2968,Secadora de roupas,eletrodomesticos,1804.02,96.3474145918,2020-11-10T00:00:00.000,Larissa Alves,SP,4,cartao_credito,5,-22.19,-48.79
2969,Iniciando em programação,livros,42.19,5.4103068982,2020-11-10T00:00:00.000,Isabella Pereira,SP,3,boleto,1,-22.19,-48.79
2970,Impressora,eletronicos,372.84,17.4370474132,2020-11-10T00:00:00.000,Bruno Rodrigues,BA,5,cartao_credito,4,-13.29,-41.71
2971,Cama king,moveis,832.24,44.8453808112,2020-11-10T00:00:00.000,Lucas Oliveira,PA,3,cartao_credito,7,-3.79,-52.48
2972,Cama box,moveis,604.57,29.7759727758,2020-11-10T00:00:00.000,Thiago Silva,PR,5,cartao_credito,2,-24.89,-51.55
2973,Bateria,instrumentos musicais,763.44,38.2353223307,2020-11-10T00:00:00.000,Bianca Santos,PE,4,cartao_credito,5,-8.38,-37.86
2974,Mesa de jantar,moveis,203.54,11.1210185782,2021-11-10T00:00:00.000,Beatriz Moraes,SP,5,cartao_credito,1,-22.19,-48.79
2975,Bateria,instrumentos musicais,1000.21,50.8426125309,2021-11-10T00:00:00.000,Bianca Santos,SP,4,boleto,1,-22.19,-48.79
2976,Bola de basquete,esporte e lazer,93.05,2.5390716344,2021-11-10T00:00:00.000,Camila Ribeiro,SP,5,cartao_credito,1,-22.19,-48.79
2977,Blocos de montar,brinquedos,48.05,10.3605275639,2021-11-10T00:00:00.000,Isabella Pereira,CE,5,cartao_credito,1,-5.2,-39.53
2978,Micro-ondas,eletrodomesticos,402.34,19.0078336652,2021-11-10T00:00:00.000,Pedro Gomes,SP,5,cartao_credito,2,-22.19,-48.79
2979,Dashboards com Power BI,livros,51.53,0,2021-11-10T00:00:00.000,João Souza,DF,4,cartao_credito,2,-15.83,-47.86
2980,Lavadora de roupas,eletrodomesticos,1856.37,96.430556856,2021-11-10T00:00:00.000,Larissa Alves,PR,3,cartao_credito,8,-24.89,-51.55
2981,Pandeiro,instrumentos musicais,99.49,5.5806691026,2021-11-10T00:00:00.000,Rafael Costa,PR,4,cartao_credito,12,-24.89,-51.55
2982,Sofá retrátil,moveis,801.14,42.9414207562,2021-11-10T00:00:00.000,Larissa Alves,PR,5,cartao_credito,10,-24.89,-51.55
2983,Cubo mágico 8x8,brinquedos,13.02,0,2021-11-10T00:00:00.000,Juliana Costa,MG,5,boleto,1,-18.1,-44.38
2984,Lavadora de roupas,eletrodomesticos,1802.7,107.6343799543,2021-11-10T00:00:00.000,Rafael Costa,RS,4,cartao_credito,1,-30.17,-53.5
2985,Jogo de tabuleiro,brinquedos,323.39,14.8039836787,2021-11-10T00:00:00.000,Beatriz Moraes,MG,1,cartao_credito,4,-18.1,-44.38
2986,Jogo de tabuleiro,brinquedos,213.84,8.9707757493,2021-11-10T00:00:00.000,João Souza,MG,4,cartao_credito,6,-18.1,-44.38
2987,Smart TV,eletronicos,1700.74,88.1437275539,2022-11-10T00:00:00.000,Juliana Costa,SP,4,cartao_credito,5,-22.19,-48.79
2988,Dashboards com Power BI,livros,44.24,0,2022-11-10T00:00:00.000,Larissa Alves,SP,5,boleto,1,-22.19,-48.79
2989,Jogo de tabuleiro,brinquedos,196.4,8.0421482159,2022-11-10T00:00:00.000,Lucas Oliveira,SP,5,boleto,1,-22.19,-48.79
2990,Faqueiro,utilidades domesticas,49.4,5.7942177076,2022-11-10T00:00:00.000,Thiago Silva,SP,5,cartao_credito,3,-22.19,-48.79
2991,Ciência de dados com python,livros,67.12,1.1583771423,2022-11-10T00:00:00.000,Bruno Rodrigues,MG,1,cartao_credito,3,-18.1,-44.38
2992,Sofá retrátil,moveis,950.49,48.1951721088,2022-11-10T00:00:00.000,Camila Ribeiro,PR,1,cartao_credito,5,-24.89,-51.55
2993,Smart TV,eletronicos,1922.67,102.9074978576,2022-11-10T00:00:00.000,Bruno Rodrigues,SC,5,boleto,1,-27.45,-50.95
2994,Sofá retrátil,moveis,894.61,59.2813193556,2022-11-10T00:00:00.000,Thiago Silva,PR,5,cartao_credito,7,-24.89,-51.55
2995,TV Led UHD 4K,eletronicos,3240.02,173.052422237,2022-11-10T00:00:00.000,João Souza,SP,1,cartao_credito,1,-22.19,-48.79
2996,Cadeira de escritório,moveis,474.82,22.8671756161,2022-11-10T00:00:00.000,Isabella Pereira,SP,5,cartao_credito,3,-22.19,-48.79
2997,Corda de pular,esporte e lazer,30.22,0,2022-11-10T00:00:00.000,Juliana Costa,SP,1,cartao_credito,1,-22.19,-48.79
2998,Smart TV,eletronicos,2216.24,115.5925517218,2022-11-10T00:00:00.000,Rafael Costa,MG,5,cartao_credito,10,-18.1,-44.38
2999,Dashboards com Power BI,livros,40.13,0,2020-12-10T00:00:00.000,Beatriz Moraes,RJ,5,cartao_credito,6,-22.25,-42.66
3000,Mesa de jantar,moveis,418.25,25.4343705579,2020-12-10T00:00:00.000,Bruno Rodrigues,PE,1,cartao_credito,3,-8.38,-37.86
3001,Sofá retrátil,moveis,936.96,50.1734271548,2020-12-10T00:00:00.000,Bruno Rodrigues,SP,5,boleto,1,-22.19,-48.79
3002,Cadeira de escritório,moveis,491.6,26.4593469775,2020-12-10T00:00:00.000,Juliana Costa,SP,1,cartao_credito,8,-22.19,-48.79
3003,Sofá retrátil,moveis,944.36,50.9713411344,2020-12-10T00:00:00.000,Juliana Costa,SP,5,cartao_credito,3,-22.19,-48.79
3004,Copo térmico,esporte e lazer,73.07,1.4751967423,2020-12-10T00:00:00.000,Mariana Ferreira,SP,3,cartao_credito,3,-22.19,-48.79
3005,Cadeira de escritório,moveis,652.36,37.9000237605,2020-12-10T00:00:00.000,Lucas Oliveira,SP,5,cartao_credito,2,-22.19,-48.79
3006,Cama box,moveis,849.66,45.7729434048,2020-12-10T00:00:00.000,Beatriz Moraes,SP,5,boleto,1,-22.19,-48.79
3007,Carrinho controle remoto,brinquedos,116.73,6.4986472378,2020-12-10T00:00:00.000,Mariana Ferreira,MG,5,boleto,1,-18.1,-44.38
3008,Jogo de panelas,utilidades domesticas,225.43,9.5879083819,2020-12-10T00:00:00.000,Juliana Costa,RJ,4,boleto,1,-22.25,-42.66
3009,Kit banquetas,moveis,450.15,21.5535723335,2021-12-10T00:00:00.000,Lucas Oliveira,BA,5,cartao_credito,8,-13.29,-41.71
3010,Cama king,moveis,942.89,47.7904949726,2021-12-10T00:00:00.000,Larissa Alves,RS,5,cartao_credito,7,-30.17,-53.5
3011,Tablet ABXY,eletronicos,2313.54,123.4721708464,2021-12-10T00:00:00.000,João Souza,SP,3,cartao_credito,5,-22.19,-48.79
3012,Bola de vôlei,esporte e lazer,75.97,1.629613018,2021-12-10T00:00:00.000,Mariana Ferreira,MG,4,cartao_credito,2,-18.1,-44.38
3013,Dinossauro Rex,brinquedos,27.41,0,2021-12-10T00:00:00.000,Bruno Rodrigues,MG,5,boleto,1,-18.1,-44.38
3014,Celular ABXY,eletronicos,1790.48,92.9221125797,2021-12-10T00:00:00.000,Felipe Santos,SP,5,cartao_credito,6,-22.19,-48.79
3015,Pandeiro,instrumentos musicais,117.45,6.5369850717,2021-12-10T00:00:00.000,João Souza,SP,5,cartao_credito,4,-22.19,-48.79
3016,Fone de ouvido,eletronicos,167.81,9.4664821849,2021-12-10T00:00:00.000,Felipe Santos,SP,3,cartao_credito,1,-22.19,-48.79
3017,Bola de basquete,esporte e lazer,94.61,2.6221369413,2021-12-10T00:00:00.000,Rafael Costa,SP,1,cartao_credito,3,-22.19,-48.79
3018,Boneca bebê,brinquedos,64.23,1.0044933366,2021-12-10T00:00:00.000,João Souza,SP,5,cartao_credito,1,-22.19,-48.79
3019,Kit banquetas,moveis,426.89,23.2617127677,2021-12-10T00:00:00.000,Mariana Ferreira,SP,4,cartao_credito,4,-22.19,-48.79
3020,Lava louças,eletrodomesticos,1858.84,96.5620769253,2022-12-10T00:00:00.000,Bruno Rodrigues,SP,3,cartao_credito,4,-22.19,-48.79
3021,Ciência de dados com python,livros,61.12,6.4182724491,2022-12-10T00:00:00.000,Felipe Santos,PA,1,boleto,1,-3.79,-52.48
3022,Lavadora de roupas,eletrodomesticos,1830.19,97.9832160748,2022-12-10T00:00:00.000,Bianca Santos,RS,1,boleto,1,-30.17,-53.5
3023,Panela de pressão,utilidades domesticas,75.32,4.5416679322,2022-12-10T00:00:00.000,Juliana Costa,SP,5,cartao_credito,8,-22.19,-48.79
3024,Cadeira de escritório,moveis,472.29,26.5471370076,2022-12-10T00:00:00.000,Thiago Silva,SP,3,cartao_credito,10,-22.19,-48.79
3025,Mochila,esporte e lazer,123.31,7.9650018803,2022-12-10T00:00:00.000,Isabella Pereira,RJ,4,cartao_credito,1,-22.25,-42.66
3026,Xadrez de madeira,brinquedos,48.44,3.1103887981,2022-12-10T00:00:00.000,Isabella Pereira,MG,5,boleto,1,-18.1,-44.38
3027,Ciência de dados com python,livros,57.43,0,2022-12-10T00:00:00.000,Mariana Ferreira,RJ,1,cartao_credito,10,-22.25,-42.66
3028,Blocos de montar,brinquedos,58.64,4.0108187622,2020-01-11T00:00:00.000,Bruno Rodrigues,RS,4,cupom,1,-30.17,-53.5
3029,Guitarra,instrumentos musicais,1058.56,53.9495744906,2020-01-11T00:00:00.000,João Souza,RJ,5,cartao_credito,5,-22.25,-42.66
3030,Guarda roupas,moveis,689.69,34.3083567004,2020-01-11T00:00:00.000,Thiago Silva,PB,1,boleto,1,-7.28,-36.72
3031,Celular ABXY,eletronicos,935.91,47.4188309713,2020-01-11T00:00:00.000,João Souza,SP,5,boleto,1,-22.19,-48.79
3032,Cama king,moveis,1152.77,58.9659735689,2020-01-11T00:00:00.000,Isabella Pereira,GO,5,cartao_credito,8,-15.98,-49.86
3033,Ciência de dados com python,livros,66.11,4.4600064466,2020-01-11T00:00:00.000,Camila Ribeiro,RJ,1,cartao_credito,1,-22.25,-42.66
3034,Assistente virtual,eletronicos,174.04,6.8515454838,2020-01-11T00:00:00.000,Bianca Santos,SP,5,boleto,1,-22.19,-48.79
3035,Smartwatch,eletronicos,164.29,9.6363634243,2021-01-11T00:00:00.000,Bianca Santos,GO,1,cartao_credito,1,-15.98,-49.86
3036,Lava louças,eletrodomesticos,1465.66,78.3251116118,2021-01-11T00:00:00.000,Bianca Santos,MG,1,boleto,1,-18.1,-44.38
3037,Jogo de panelas,utilidades domesticas,271.09,14.965831477,2021-01-11T00:00:00.000,Rafael Costa,RJ,5,cartao_credito,3,-22.25,-42.66
3038,Impressora,eletronicos,363.89,16.9604868384,2021-01-11T00:00:00.000,Rafael Costa,RJ,5,boleto,1,-22.25,-42.66
3039,Bicicleta,esporte e lazer,528.74,29.0422295116,2021-01-11T00:00:00.000,Pedro Gomes,ES,5,cartao_credito,2,-19.19,-40.34
3040,Guitarra,instrumentos musicais,1296.74,66.631942949,2022-01-11T00:00:00.000,Bruno Rodrigues,MG,5,cartao_credito,3,-18.1,-44.38
3041,Bola de vôlei,esporte e lazer,68.34,4.5273145807,2022-01-11T00:00:00.000,Felipe Santos,PR,5,cartao_credito,3,-24.89,-51.55
3042,Cubo mágico 8x8,brinquedos,28.86,2.4765560096,2022-01-11T00:00:00.000,Camila Ribeiro,RJ,3,cartao_credito,1,-22.25,-42.66
3043,Dinossauro Rex,brinquedos,18.17,1.9073456695,2022-01-11T00:00:00.000,Camila Ribeiro,RJ,5,boleto,1,-22.25,-42.66
3044,Assistente virtual,eletronicos,210.8,12.1643136606,2022-01-11T00:00:00.000,Rafael Costa,BA,5,cartao_credito,2,-13.29,-41.71
3045,Celular Plus X42,eletronicos,2491.61,135.834553054,2022-01-11T00:00:00.000,João Souza,RN,5,cartao_credito,3,-5.81,-36.59
3046,Dashboards com Power BI,livros,40.33,0,2023-01-11T00:00:00.000,Rafael Costa,SP,5,cartao_credito,5,-22.19,-48.79
3047,Micro-ondas,eletrodomesticos,514.26,27.665923807,2023-01-11T00:00:00.000,Juliana Costa,SP,1,boleto,1,-22.19,-48.79
3048,Iniciando em programação,livros,84.44,2.0806150368,2023-01-11T00:00:00.000,Camila Ribeiro,SP,5,cartao_credito,1,-22.19,-48.79
3049,Dashboards com Power BI,livros,56.23,3.2828551497,2023-01-11T00:00:00.000,Beatriz Moraes,MG,4,cartao_credito,5,-18.1,-44.38
3050,Assistente virtual,eletronicos,269.47,14.8795713506,2023-01-11T00:00:00.000,Pedro Gomes,PR,3,cartao_credito,5,-24.89,-51.55
3051,Faqueiro,utilidades domesticas,47.34,2.8094893944,2023-01-11T00:00:00.000,Felipe Santos,PR,3,cartao_credito,10,-24.89,-51.55
3052,Panela de pressão,utilidades domesticas,82.96,4.948474948,2023-01-11T00:00:00.000,Felipe Santos,MT,5,cartao_credito,1,-12.64,-55.42
3053,Blocos de montar,brinquedos,57.07,3.3275826226,2023-01-11T00:00:00.000,Mariana Ferreira,RJ,4,cartao_credito,10,-22.25,-42.66
3054,Bola de basquete,esporte e lazer,71.22,10.1718651067,2023-01-11T00:00:00.000,Camila Ribeiro,MT,1,boleto,1,-12.64,-55.42
3055,Bola de vôlei,esporte e lazer,53.79,3.3952602031,2023-01-11T00:00:00.000,Thiago Silva,PB,2,cartao_credito,4,-7.28,-36.72
3056,Mesa de centro,moveis,189.42,16.4656595133,2023-01-11T00:00:00.000,Mariana Ferreira,RS,4,cartao_credito,3,-30.17,-53.5
3057,Jogo de copos,utilidades domesticas,37.36,8.534932789,2020-02-11T00:00:00.000,Beatriz Moraes,RS,4,cartao_credito,4,-30.17,-53.5
3058,Cubo mágico 8x8,brinquedos,25.22,2.231304303,2020-02-11T00:00:00.000,Larissa Alves,RJ,5,cartao_credito,2,-22.25,-42.66
3059,Guarda roupas,moveis,645.44,34.898842781,2020-02-11T00:00:00.000,Felipe Santos,SP,4,cartao_credito,1,-22.19,-48.79
3060,Violão,instrumentos musicais,440.64,23.9890193665,2020-02-11T00:00:00.000,Lucas Oliveira,MG,4,cartao_credito,1,-18.1,-44.38
3061,Dinossauro Rex,brinquedos,27.54,7.8460365137,2020-02-11T00:00:00.000,João Souza,MG,5,cartao_credito,8,-18.1,-44.38
3062,TV Led UHD 4K,eletronicos,3484.62,183.1299709227,2020-02-11T00:00:00.000,Juliana Costa,SP,5,cartao_credito,2,-22.19,-48.79
3063,Kit banquetas,moveis,421.31,20.0179290958,2020-02-11T00:00:00.000,Lucas Oliveira,SP,5,cartao_credito,1,-22.19,-48.79
3064,Mesa de jantar,moveis,457.6,24.8969278796,2020-02-11T00:00:00.000,Beatriz Moraes,PR,5,cartao_credito,9,-24.89,-51.55
3065,Modelagem preditiva,livros,91.39,2.4506816284,2020-02-11T00:00:00.000,Felipe Santos,SP,1,boleto,1,-22.19,-48.79
3066,Impressora,eletronicos,339.73,18.3727263637,2020-02-11T00:00:00.000,Bianca Santos,ES,1,cartao_credito,4,-19.19,-40.34
3067,Fogão,eletrodomesticos,823.4,44.3746774055,2020-02-11T00:00:00.000,Camila Ribeiro,RJ,1,cartao_credito,2,-22.25,-42.66
3068,Kit banquetas,moveis,334.69,18.1100124296,2021-02-11T00:00:00.000,Rafael Costa,SP,3,cartao_credito,4,-22.19,-48.79
3069,Carrinho controle remoto,brinquedos,102.53,3.0438531148,2021-02-11T00:00:00.000,Mariana Ferreira,SP,2,boleto,1,-22.19,-48.79
3070,Headset,eletronicos,172.12,10.0532873685,2021-02-11T00:00:00.000,Pedro Gomes,SP,4,cartao_credito,1,-22.19,-48.79
3071,Xadrez de madeira,brinquedos,40.28,0,2021-02-11T00:00:00.000,Bianca Santos,RJ,5,cupom,1,-22.25,-42.66
3072,Mesa de jantar,moveis,428.48,20.3997100256,2021-02-11T00:00:00.000,Bruno Rodrigues,RS,5,cartao_credito,5,-30.17,-53.5
3073,Celular Plus X42,eletronicos,1742.04,95.9222055632,2021-02-11T00:00:00.000,Lucas Oliveira,MG,1,boleto,1,-18.1,-44.38
3074,Carrinho controle remoto,brinquedos,105.32,3.1924122213,2021-02-11T00:00:00.000,Beatriz Moraes,SP,5,cartao_credito,1,-22.19,-48.79
3075,Cama box,moveis,641.44,31.7391893559,2021-02-11T00:00:00.000,Beatriz Moraes,SP,2,boleto,1,-22.19,-48.79
3076,Impressora,eletronicos,305,16.771436962,2022-02-11T00:00:00.000,Bianca Santos,CE,3,cartao_credito,7,-5.2,-39.53
3077,Fone de ouvido,eletronicos,192.37,19.8240673076,2022-02-11T00:00:00.000,Bruno Rodrigues,SP,5,cartao_credito,5,-22.19,-48.79
3078,Mesa de centro,moveis,193.44,10.5832239631,2022-02-11T00:00:00.000,Beatriz Moraes,SP,5,boleto,1,-22.19,-48.79
3079,Smartwatch,eletronicos,229.77,12.5176871678,2022-02-11T00:00:00.000,Isabella Pereira,SP,5,cartao_credito,8,-22.19,-48.79
3080,Fogão,eletrodomesticos,1176.41,63.580141216,2022-02-11T00:00:00.000,Bruno Rodrigues,MG,5,cartao_credito,1,-18.1,-44.38
3081,Panela de pressão,utilidades domesticas,114.34,6.3713869278,2022-02-11T00:00:00.000,Pedro Gomes,MG,5,cartao_credito,3,-18.1,-44.38
3082,Impressora,eletronicos,411.77,22.6125258802,2022-02-11T00:00:00.000,Larissa Alves,MG,1,cartao_credito,2,-18.1,-44.38
3083,Faqueiro,utilidades domesticas,64.86,3.9847044001,2022-02-11T00:00:00.000,Beatriz Moraes,BA,5,boleto,1,-13.29,-41.71
3084,Iniciando em programação,livros,86.9,11.0067779349,2022-02-11T00:00:00.000,Bruno Rodrigues,BA,5,cartao_credito,4,-13.29,-41.71
3085,TV Led UHD 4K,eletronicos,3234.13,172.4908188401,2022-02-11T00:00:00.000,Bruno Rodrigues,SP,5,cartao_credito,3,-22.19,-48.79
3086,Cama box,moveis,760.5,46.8739514742,2022-02-11T00:00:00.000,Camila Ribeiro,SP,5,cartao_credito,1,-22.19,-48.79
3087,Kit banquetas,moveis,347.02,19.0088755489,2023-02-11T00:00:00.000,Pedro Gomes,RS,5,cartao_credito,1,-30.17,-53.5
3088,Fogão,eletrodomesticos,834.26,44.9529397343,2023-02-11T00:00:00.000,Juliana Costa,MT,5,cartao_credito,5,-12.64,-55.42
3089,Jogo de panelas,utilidades domesticas,169.18,9.291451947,2023-02-11T00:00:00.000,Larissa Alves,SP,5,cartao_credito,1,-22.19,-48.79
3090,Cubo mágico 8x8,brinquedos,25.32,0,2023-02-11T00:00:00.000,Bianca Santos,SP,5,cartao_credito,3,-22.19,-48.79
3091,Mesa de centro,moveis,246.56,14.016993423,2023-02-11T00:00:00.000,Pedro Gomes,SP,5,cartao_credito,1,-22.19,-48.79
3092,Dinossauro Rex,brinquedos,27.65,0,2020-03-11T00:00:00.000,Larissa Alves,SP,5,cartao_credito,3,-22.19,-48.79
3093,Micro-ondas,eletrodomesticos,428.64,20.4082295442,2020-03-11T00:00:00.000,Juliana Costa,PR,4,cartao_credito,1,-24.89,-51.55
3094,Carrinho controle remoto,brinquedos,99.45,6.1838284892,2020-03-11T00:00:00.000,Beatriz Moraes,DF,5,cartao_credito,4,-15.83,-47.86
3095,Dashboards com Power BI,livros,45.7,0,2020-03-11T00:00:00.000,Larissa Alves,SP,5,cartao_credito,4,-22.19,-48.79
3096,Guarda roupas,moveis,682.6,36.6295223724,2020-03-11T00:00:00.000,Felipe Santos,MG,5,cartao_credito,10,-18.1,-44.38
3097,Jogo de panelas,utilidades domesticas,259.04,11.3775397695,2020-03-11T00:00:00.000,Felipe Santos,SP,5,cartao_credito,4,-22.19,-48.79
3098,Mesa de jantar,moveis,204.08,12.2657613915,2020-03-11T00:00:00.000,Pedro Gomes,SP,5,cartao_credito,2,-22.19,-48.79
3099,Corda de pular,esporte e lazer,10.84,0,2020-03-11T00:00:00.000,Isabella Pereira,RJ,5,cartao_credito,6,-22.25,-42.66
3100,Iniciando em programação,livros,72.17,4.1259612922,2020-03-11T00:00:00.000,Isabella Pereira,RJ,5,boleto,1,-22.25,-42.66
3101,Mesa de centro,moveis,254.16,13.8220321963,2020-03-11T00:00:00.000,Larissa Alves,RJ,1,cartao_credito,2,-22.25,-42.66
3102,Bateria,instrumentos musicais,881.9,47.4896264139,2020-03-11T00:00:00.000,Thiago Silva,RJ,5,cartao_credito,10,-22.25,-42.66
3103,Celular ABXY,eletronicos,1698.72,90.9828340896,2021-03-11T00:00:00.000,Felipe Santos,SP,1,cartao_credito,3,-22.19,-48.79
3104,Boneca bebê,brinquedos,65.24,1.0582727981,2021-03-11T00:00:00.000,Bruno Rodrigues,BA,4,cartao_credito,1,-13.29,-41.71
3105,Carrinho controle remoto,brinquedos,119.91,7.2732619373,2021-03-11T00:00:00.000,Mariana Ferreira,MG,5,cartao_credito,2,-18.1,-44.38
3106,Lavadora de roupas,eletrodomesticos,1708.05,88.5329630625,2021-03-11T00:00:00.000,Isabella Pereira,MG,5,cartao_credito,5,-18.1,-44.38
3107,Micro-ondas,eletrodomesticos,580.92,31.2153682668,2021-03-11T00:00:00.000,Thiago Silva,RS,5,cupom,1,-30.17,-53.5
3108,Secadora de roupas,eletrodomesticos,1534.58,79.2962074302,2021-03-11T00:00:00.000,Rafael Costa,RS,4,cupom,1,-30.17,-53.5
3109,Pandeiro,instrumentos musicais,99.75,2.8958264781,2021-03-11T00:00:00.000,Isabella Pereira,RJ,3,cartao_credito,8,-22.25,-42.66
3110,Carrinho controle remoto,brinquedos,78.12,4.6907595086,2021-03-11T00:00:00.000,Lucas Oliveira,RJ,5,cartao_credito,7,-22.25,-42.66
3111,Jogo de copos,utilidades domesticas,56.3,0,2021-03-11T00:00:00.000,João Souza,RJ,1,cartao_credito,10,-22.25,-42.66
3112,Ciência de dados com python,livros,56.5,3.9483028573,2022-03-11T00:00:00.000,Camila Ribeiro,MG,4,cartao_credito,3,-18.1,-44.38
3113,Dashboards com Power BI,livros,50.06,3.1966489244,2022-03-11T00:00:00.000,Beatriz Moraes,RS,5,cartao_credito,4,-30.17,-53.5
3114,Jogo de tabuleiro,brinquedos,184.28,10.1011324236,2022-03-11T00:00:00.000,Camila Ribeiro,BA,4,boleto,1,-13.29,-41.71
3115,Cubo mágico 8x8,brinquedos,14.9,1.6817953498,2022-03-11T00:00:00.000,Bruno Rodrigues,MG,4,cartao_credito,2,-18.1,-44.38
3116,Smart TV,eletronicos,1774.49,94.7693800264,2022-03-11T00:00:00.000,Felipe Santos,SP,3,cartao_credito,4,-22.19,-48.79
3117,Modelagem preditiva,livros,87.93,2.2664470375,2022-03-11T00:00:00.000,Mariana Ferreira,SC,5,cartao_credito,2,-27.45,-50.95
3118,Modelagem preditiva,livros,62,3.5844393877,2023-03-11T00:00:00.000,Pedro Gomes,SP,4,cartao_credito,3,-22.19,-48.79
3119,Modelagem preditiva,livros,97.99,2.8021117729,2023-03-11T00:00:00.000,João Souza,SC,1,boleto,1,-27.45,-50.95
3120,Bateria,instrumentos musicais,1473.13,76.0241797967,2023-03-11T00:00:00.000,Rafael Costa,SP,1,cartao_credito,3,-22.19,-48.79
3121,Fone de ouvido,eletronicos,138.25,7.8925011133,2023-03-11T00:00:00.000,Pedro Gomes,SP,5,cartao_credito,1,-22.19,-48.79
3122,Tablet ABXY,eletronicos,2164.79,112.8529940042,2023-03-11T00:00:00.000,Bruno Rodrigues,SP,1,cartao_credito,10,-22.19,-48.79
3123,Jogo de copos,utilidades domesticas,28.18,0,2023-03-11T00:00:00.000,Juliana Costa,SP,4,boleto,1,-22.19,-48.79
3124,Cubo mágico 8x8,brinquedos,21.33,1.4188842395,2023-03-11T00:00:00.000,Larissa Alves,RS,3,boleto,1,-30.17,-53.5
3125,Guarda roupas,moveis,690.77,34.3658634514,2023-03-11T00:00:00.000,Bruno Rodrigues,RS,5,boleto,1,-30.17,-53.5
3126,Bateria,instrumentos musicais,837.19,45.1089534196,2023-03-11T00:00:00.000,Beatriz Moraes,SC,1,cartao_credito,2,-27.45,-50.95
3127,Cubo mágico 8x8,brinquedos,29.03,0,2023-03-11T00:00:00.000,Larissa Alves,MG,1,boleto,1,-18.1,-44.38
3128,Secadora de roupas,eletrodomesticos,1280.58,68.4758093106,2020-04-11T00:00:00.000,Lucas Oliveira,RJ,5,cartao_credito,1,-22.25,-42.66
3129,Lavadora de roupas,eletrodomesticos,1709.89,88.630937527,2020-04-11T00:00:00.000,João Souza,SP,3,boleto,1,-22.19,-48.79
3130,Copo térmico,esporte e lazer,51.53,0,2020-04-11T00:00:00.000,Bruno Rodrigues,SP,5,cartao_credito,1,-22.19,-48.79
3131,Celular Plus X42,eletronicos,2345.56,125.4251181338,2020-04-11T00:00:00.000,Lucas Oliveira,SP,5,cartao_credito,3,-22.19,-48.79
3132,TV Led UHD 4K,eletronicos,3694,197.2254914819,2020-04-11T00:00:00.000,Juliana Costa,SP,4,cartao_credito,1,-22.19,-48.79
3133,Faqueiro,utilidades domesticas,47.48,8.9077815262,2020-04-11T00:00:00.000,Camila Ribeiro,SE,4,cartao_debito,1,-10.57,-37.45
3134,Jogo de panelas,utilidades domesticas,271.28,12.0292829466,2020-04-11T00:00:00.000,Camila Ribeiro,DF,1,cartao_credito,1,-15.83,-47.86
3135,Boneca bebê,brinquedos,52.6,0,2021-04-11T00:00:00.000,Mariana Ferreira,SP,5,cartao_credito,4,-22.19,-48.79
3136,Blocos de montar,brinquedos,41.98,2.5184346159,2021-04-11T00:00:00.000,Lucas Oliveira,SP,4,cartao_credito,3,-22.19,-48.79
3137,Micro-ondas,eletrodomesticos,552.75,27.0167136712,2021-04-11T00:00:00.000,Bianca Santos,SP,3,boleto,1,-22.19,-48.79
3138,Geladeira,eletrodomesticos,2558.89,136.5419711381,2021-04-11T00:00:00.000,Camila Ribeiro,PR,4,cartao_credito,3,-24.89,-51.55
3139,Violão,instrumentos musicais,505.35,30.072183526,2021-04-11T00:00:00.000,Beatriz Moraes,DF,5,cartao_credito,4,-15.83,-47.86
3140,Fone de ouvido,eletronicos,158.02,5.9985286784,2021-04-11T00:00:00.000,Beatriz Moraes,SP,1,cartao_credito,6,-22.19,-48.79
3141,Geladeira,eletrodomesticos,3119.95,163.7123904973,2021-04-11T00:00:00.000,Camila Ribeiro,RJ,5,cartao_credito,10,-22.25,-42.66
3142,Fone de ouvido,eletronicos,60.84,3.5283237809,2022-04-11T00:00:00.000,Bianca Santos,RS,5,cartao_credito,3,-30.17,-53.5
3143,Tablet ABXY,eletronicos,1547.37,92.2500905122,2022-04-11T00:00:00.000,Bruno Rodrigues,RS,1,cartao_credito,6,-30.17,-53.5
3144,Jogo de tabuleiro,brinquedos,270.61,17.5729847186,2022-04-11T00:00:00.000,Mariana Ferreira,SP,3,cupom,1,-22.19,-48.79
3145,Jogo de copos,utilidades domesticas,53.74,3.7499085034,2022-04-11T00:00:00.000,Bianca Santos,RJ,5,cartao_credito,5,-22.25,-42.66
3146,Guitarra,instrumentos musicais,1215.95,62.3301184979,2022-04-11T00:00:00.000,Isabella Pereira,SP,1,cartao_credito,2,-22.19,-48.79
